# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 22K of event 'cycles:P'
# Event count (approx.): 11907981544
#
# Overhead  Command        Shared Object               Symbol                               
# ........  .............  ..........................  .....................................
#
     0.02%  my_executable  libm.so.6                   [.] 0x00000000000738f6
     0.02%  my_executable  [kernel.vmlinux]            [k] mutex_unlock
     0.02%  my_executable  [kernel.vmlinux]            [k] __d_lookup
     0.02%  my_executable  libm.so.6                   [.] 0x000000000007357d
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073cd8
     0.02%  my_executable  libm.so.6                   [.] 0x00000000000735c4
     0.02%  my_executable  [kernel.vmlinux]            [k] down_read
     0.02%  my_executable  [kernel.vmlinux]            [k] __handle_mm_fault
     0.02%  my_executable  [kernel.vmlinux]            [k] __mod_lruvec_state
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073dfd
     0.02%  my_executable  [kernel.vmlinux]            [k] update_cfs_group
     0.02%  my_executable  [kernel.vmlinux]            [k] rep_movs_alternative
     0.02%  my_executable  [kernel.vmlinux]            [k] __pte_offset_map
     0.02%  my_executable  [kernel.vmlinux]            [k] syscall_exit_to_user_mode
     0.02%  my_executable  [kernel.vmlinux]            [k] __x86_indirect_thunk_array
     0.02%  my_executable  [kernel.vmlinux]            [k] entry_SYSRETQ_unsafe_stack
     0.02%  my_executable  [kernel.vmlinux]            [k] __update_load_avg_se
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073bd2
     0.01%  my_executable  ld-linux-x86-64.so.2        [.] 0x000000000000a420
     0.01%  my_executable  [kernel.vmlinux]            [k] update_blocked_averages
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000732e7
     0.01%  my_executable  [kernel.vmlinux]            [k] reweight_entity
     0.01%  my_executable  libgomp.so.1.0.0            [.] gomp_barrier_wait
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007329b
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073596
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000738f5
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c23
     0.01%  my_executable  libgomp.so.1.0.0            [.] gomp_team_start
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c72
     0.01%  my_executable  [kernel.vmlinux]            [k] kernfs_iop_get_link
     0.01%  my_executable  [kernel.vmlinux]            [k] cgroup_rstat_updated
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c2f
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000732fd
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c54
     0.01%  my_executable  libgomp.so.1.0.0            [.] gomp_ptrlock_get_slow
     0.01%  my_executable  [kernel.vmlinux]            [k] native_flush_tlb_one_user
     0.01%  my_executable  [kernel.vmlinux]            [k] do_dentry_open
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c60
     0.01%  my_executable  [kernel.vmlinux]            [k] irq_enter_rcu
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073394
     0.01%  my_executable  [kernel.vmlinux]            [k] kernfs_iop_permission
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073cd0
     0.01%  my_executable  [kernel.vmlinux]            [k] release_pages
     0.01%  my_executable  [kernel.vmlinux]            [k] trigger_load_balance
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073584
     0.01%  my_executable  libhwloc.so.15.7.0          [.] 0x0000000000037537
     0.01%  my_executable  [kernel.vmlinux]            [k] __mem_cgroup_charge
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073d8f
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073340
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c6d
     0.01%  my_executable  [kernel.vmlinux]            [k] __alloc_pages
     0.01%  my_executable  libpciaccess.so.0.11.1      [.] 0x0000000000002765
     0.01%  my_executable  [kernel.vmlinux]            [k] percpu_counter_add_batch
     0.01%  my_executable  [kernel.vmlinux]            [k] kfree
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073bbd
     0.01%  my_executable  [kernel.vmlinux]            [k] _find_next_and_bit
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007316f
     0.01%  my_executable  [kernel.vmlinux]            [k] lru_add_fn
     0.01%  my_executable  libc.so.6                   [.] 0x0000000000159643
     0.01%  my_executable  [kernel.vmlinux]            [k] flush_tlb_func
     0.01%  my_executable  libc.so.6                   [.] 0x00000000000992af
     0.01%  my_executable  [kernel.vmlinux]            [k] free_pages_and_swap_cache
     0.01%  my_executable  [kernel.vmlinux]            [k] newidle_balance
     0.01%  my_executable  [kernel.vmlinux]            [k] hrtimer_interrupt
     0.01%  my_executable  [kernel.vmlinux]            [k] update_process_times
     0.01%  my_executable  [kernel.vmlinux]            [k] rcu_sched_clock_irq
     0.01%  my_executable  libgomp.so.1.0.0            [.] gomp_work_share_end_nowait
     0.01%  my_executable  [kernel.vmlinux]            [k] update_irq_load_avg
     0.01%  my_executable  [kernel.vmlinux]            [k] alloc_empty_file
     0.01%  my_executable  [kernel.vmlinux]            [k] link_path_walk.part.0.constprop.0
     0.01%  my_executable  [kernel.vmlinux]            [k] do_syscall_64
     0.01%  my_executable  [kernel.vmlinux]            [k] mas_walk
     0.01%  my_executable  [kernel.vmlinux]            [k] smp_call_function_many_cond
     0.01%  my_executable  [kernel.vmlinux]            [k] kmem_cache_alloc
     0.01%  my_executable  ld-linux-x86-64.so.2        [.] 0x000000000000e570
     0.01%  my_executable  [kernel.vmlinux]            [k] do_anonymous_page
     0.01%  my_executable  [kernel.vmlinux]            [k] get_vma_policy
     0.01%  my_executable  [kernel.vmlinux]            [k] mem_cgroup_commit_charge
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000735af
     0.01%  my_executable  [kernel.vmlinux]            [k] idle_cpu
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073ba8
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073607
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000735b3
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073d9f
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073d9c
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007347c
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073bf3
     0.01%  my_executable  [kernel.vmlinux]            [k] show_cpuinfo
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073cca
     0.01%  my_executable  [kernel.vmlinux]            [k] irqentry_exit_to_user_mode
     0.01%  my_executable  [kernel.vmlinux]            [k] memcpy_orig
     0.01%  my_executable  [kernel.vmlinux]            [k] kmem_cache_free
     0.01%  my_executable  libpciaccess.so.0.11.1      [.] 0x00000000000028f3
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c3d
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073ce5
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073d8a
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000730c6
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007327c
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073f74
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c83
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007339e
     0.01%  my_executable  [kernel.vmlinux]            [k] mod_objcg_state
     0.01%  my_executable  [kernel.vmlinux]            [k] native_sched_clock
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000733b3
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073d98
     0.01%  my_executable  [kernel.vmlinux]            [k] __lruvec_stat_mod_folio
     0.01%  my_executable  [kernel.vmlinux]            [k] ___slab_alloc
     0.01%  my_executable  libc.so.6                   [.] 0x0000000000156899
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000735a2
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000732b1
     0.01%  my_executable  libc.so.6                   [.] sched_setaffinity
     0.01%  my_executable  [kernel.vmlinux]            [k] _raw_spin_lock_irqsave
     0.01%  my_executable  [kernel.vmlinux]            [k] kmalloc_trace
     0.01%  my_executable  [kernel.vmlinux]            [k] native_write_msr
     0.01%  my_executable  [kernel.vmlinux]            [k] walk_component
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007324b
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073568
     0.01%  my_executable  [kernel.vmlinux]            [k] lockref_put_return
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000733d7
     0.01%  my_executable  libgomp.so.1.0.0            [.] gomp_iter_ull_dynamic_next
     0.01%  my_executable  [kernel.vmlinux]            [k] cpuacct_charge
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073fa8
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007333c
     0.01%  my_executable  ld-linux-x86-64.so.2        [.] 0x000000000000a42c
     0.01%  my_executable  ld-linux-x86-64.so.2        [.] 0x0000000000009ae4
     0.01%  my_executable  [kernel.vmlinux]            [k] intel_cpufreq_update_pstate
     0.01%  my_executable  libc.so.6                   [.] 0x000000000009a72f
     0.01%  my_executable  libc.so.6                   [.] 0x0000000000159403
     0.01%  my_executable  ld-linux-x86-64.so.2        [.] 0x000000000000986b
     0.01%  my_executable  [kernel.vmlinux]            [k] update_rq_clock
