# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'cycles:P'
# Event count (approx.): 22261993218
#
# Overhead  Command        Shared Object               Symbol                                                   
# ........  .............  ..........................  .........................................................
#
     0.02%  my_executable  libm.so.6                   [.] 0x000000000007312f
     0.02%  my_executable  libhwloc.so.15.7.0          [.] 0x0000000000037537
     0.02%  my_executable  [kernel.vmlinux]            [k] cgroup_rstat_updated
     0.02%  my_executable  [kernel.vmlinux]            [k] sync_regs
     0.02%  my_executable  libm.so.6                   [.] 0x00000000000730a6
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073da3
     0.02%  my_executable  libz.so.1.3.1               [.] gzgets
     0.02%  my_executable  [kernel.vmlinux]            [k] __free_one_page
     0.02%  my_executable  [kernel.vmlinux]            [k] numa_migrate_prep
     0.02%  my_executable  libm.so.6                   [.] 0x00000000000732bb
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073bac
     0.02%  my_executable  libc.so.6                   [.] malloc
     0.02%  my_executable  libm.so.6                   [.] 0x00000000000738f5
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073122
     0.02%  my_executable  libm.so.6                   [.] 0x00000000000735fc
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073296
     0.02%  my_executable  libm.so.6                   [.] 0x00000000000730ba
     0.02%  my_executable  [kernel.vmlinux]            [k] __rcu_read_lock
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073277
     0.02%  my_executable  libc.so.6                   [.] 0x000000000009966b
     0.02%  my_executable  [kernel.vmlinux]            [k] __update_load_avg_cfs_rq
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073bb1
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073bcd
     0.02%  my_executable  [kernel.vmlinux]            [k] __pte_offset_map
     0.02%  my_executable  [kernel.vmlinux]            [k] up_read
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073c23
     0.02%  my_executable  libm.so.6                   [.] 0x000000000007325e
     0.02%  my_executable  [kernel.vmlinux]            [k] kernfs_dop_revalidate
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000073db4
