# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 19M of event 'cycles:P'
# Event count (approx.): 13554976256881
#
# Overhead  Command        Shared Object               Symbol                                        
# ........  .............  ..........................  ..............................................
#
    49.47%  my_executable  libstencil.so               [.] solve_jacobi._omp_fn.0
     6.93%  my_executable  libm.so.6                   [.] pow
     5.64%  my_executable  libstencil.so               [.] mesh_copy_core._omp_fn.0
     1.73%  my_executable  libm.so.6                   [.] 0x00000000000721b7
     1.60%  my_executable  libm.so.6                   [.] 0x0000000000072141
     1.38%  my_executable  libm.so.6                   [.] 0x000000000007203a
     1.37%  my_executable  libm.so.6                   [.] 0x0000000000072170
     1.33%  my_executable  libm.so.6                   [.] 0x000000000007210a
     1.21%  my_executable  libm.so.6                   [.] 0x000000000007219c
     1.17%  my_executable  libm.so.6                   [.] 0x0000000000071fdf
     1.07%  my_executable  libm.so.6                   [.] 0x0000000000072019
     1.05%  my_executable  libstencil.so               [.] pow@plt
     0.95%  my_executable  libm.so.6                   [.] 0x0000000000072155
     0.95%  my_executable  libm.so.6                   [.] 0x00000000000721a5
     0.93%  my_executable  libm.so.6                   [.] 0x0000000000071fb8
     0.88%  my_executable  libm.so.6                   [.] 0x0000000000071fce
     0.87%  my_executable  libm.so.6                   [.] 0x0000000000072077
     0.84%  my_executable  libm.so.6                   [.] 0x000000000007217c
     0.79%  my_executable  libm.so.6                   [.] 0x0000000000071ffe
     0.78%  my_executable  libm.so.6                   [.] 0x0000000000072066
     0.77%  my_executable  libm.so.6                   [.] 0x000000000007202f
     0.76%  my_executable  libm.so.6                   [.] 0x0000000000072145
     0.76%  my_executable  libm.so.6                   [.] 0x0000000000072095
     0.67%  my_executable  libm.so.6                   [.] 0x0000000000071ff6
     0.62%  my_executable  libm.so.6                   [.] 0x0000000000072011
     0.62%  my_executable  libm.so.6                   [.] 0x000000000007204d
     0.61%  my_executable  libm.so.6                   [.] 0x0000000000071fc2
     0.60%  my_executable  libm.so.6                   [.] 0x0000000000071fd9
     0.58%  my_executable  libm.so.6                   [.] 0x00000000000720bc
     0.54%  my_executable  libm.so.6                   [.] 0x0000000000072027
     0.54%  my_executable  libm.so.6                   [.] 0x00000000000720ed
     0.54%  my_executable  libm.so.6                   [.] 0x00000000000720a2
     0.51%  my_executable  libm.so.6                   [.] 0x0000000000072049
     0.51%  my_executable  libm.so.6                   [.] 0x0000000000071fa9
     0.50%  my_executable  libm.so.6                   [.] 0x0000000000072071
     0.48%  my_executable  libm.so.6                   [.] 0x00000000000721c0
     0.47%  my_executable  libm.so.6                   [.] 0x0000000000072091
     0.46%  my_executable  libm.so.6                   [.] 0x00000000000720d8
     0.45%  my_executable  libm.so.6                   [.] 0x00000000000720a6
     0.43%  my_executable  libm.so.6                   [.] 0x00000000000720c1
     0.41%  my_executable  libm.so.6                   [.] 0x0000000000071fa4
     0.40%  my_executable  libm.so.6                   [.] 0x00000000000720b8
     0.40%  my_executable  libm.so.6                   [.] 0x00000000000720e1
     0.39%  my_executable  libm.so.6                   [.] 0x0000000000072060
     0.39%  my_executable  libm.so.6                   [.] 0x00000000000720dd
     0.37%  my_executable  libm.so.6                   [.] 0x0000000000071fb4
     0.30%  my_executable  libm.so.6                   [.] 0x00000000000720cf
     0.26%  my_executable  libm.so.6                   [.] 0x00000000000720d4
     0.23%  my_executable  libm.so.6                   [.] 0x00000000000720ca
     0.22%  my_executable  libm.so.6                   [.] 0x00000000000720c5
     0.21%  my_executable  libm.so.6                   [.] 0x00000000000720e5
     0.19%  my_executable  libm.so.6                   [.] 0x0000000000072193
     0.17%  my_executable  libm.so.6                   [.] 0x0000000000072099
     0.17%  my_executable  libm.so.6                   [.] 0x000000000007205a
     0.12%  my_executable  libm.so.6                   [.] 0x0000000000072104
     0.12%  my_executable  libm.so.6                   [.] 0x000000000007213c
     0.12%  my_executable  libstencil.so               [.] setup_mesh_cell_values._omp_fn.0
     0.12%  my_executable  [kernel.vmlinux]            [k] down_read_trylock
     0.10%  my_executable  libm.so.6                   [.] 0x00000000000720f2
     0.09%  my_executable  libm.so.6                   [.] 0x00000000000720af
     0.09%  my_executable  libm.so.6                   [.] 0x0000000000072168
     0.09%  my_executable  libm.so.6                   [.] 0x0000000000072120
     0.08%  my_executable  libm.so.6                   [.] 0x00000000000720fe
     0.08%  my_executable  libm.so.6                   [.] 0x0000000000072185
     0.07%  my_executable  libm.so.6                   [.] 0x0000000000072124
     0.07%  my_executable  [kernel.vmlinux]            [k] smp_call_function_many_cond
