# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 91M of event 'cycles:P'
# Event count (approx.): 65660139571697
#
# Overhead  Command        Shared Object               Symbol                                        
# ........  .............  ..........................  ..............................................
#
     0.02%  my_executable  [kernel.vmlinux]            [k] migrate_pages_batch
     0.02%  my_executable  [kernel.vmlinux]            [k] can_change_pte_writable
     0.02%  my_executable  libm.so.6                   [.] 0x0000000000072165
     0.02%  my_executable  [kernel.vmlinux]            [k] __rmqueue_pcplist
     0.02%  my_executable  [kernel.vmlinux]            [k] __free_one_page
     0.02%  my_executable  libm.so.6                   [.] 0x000000000007214e
     0.02%  my_executable  [kernel.vmlinux]            [k] __count_memcg_events
     0.01%  my_executable  [kernel.vmlinux]            [k] vm_normal_folio
     0.01%  my_executable  [kernel.vmlinux]            [k] native_apic_msr_eoi
     0.01%  my_executable  [kernel.vmlinux]            [k] update_load_avg
     0.01%  my_executable  [kernel.vmlinux]            [k] exc_page_fault
     0.01%  my_executable  [kernel.vmlinux]            [k] psi_account_irqtime
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000072161
     0.01%  my_executable  [kernel.vmlinux]            [k] do_user_addr_fault
     0.01%  my_executable  [kernel.vmlinux]            [k] cgroup_rstat_updated
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007209d
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073bee
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073b8f
     0.01%  my_executable  [kernel.vmlinux]            [k] handle_mm_fault
     0.01%  my_executable  [kernel.vmlinux]            [k] update_curr
     0.01%  my_executable  [kernel.vmlinux]            [k] irqtime_account_irq
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073a50
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000072174
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073a5d
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000720ab
     0.01%  my_executable  [kernel.vmlinux]            [k] lru_gen_del_folio
     0.01%  my_executable  [kernel.vmlinux]            [k] try_to_migrate_one
     0.01%  my_executable  [kernel.vmlinux]            [k] __mod_memcg_lruvec_state
     0.01%  my_executable  [kernel.vmlinux]            [k] irqentry_exit_to_user_mode
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073a09
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007207f
     0.01%  my_executable  [kernel.vmlinux]            [k] irq_enter_rcu
     0.01%  my_executable  [kernel.vmlinux]            [k] native_sched_clock
     0.01%  my_executable  [kernel.vmlinux]            [k] page_vma_mapped_walk
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073dec
     0.01%  my_executable  [kernel.vmlinux]            [k] __rcu_read_lock
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073cc5
     0.01%  my_executable  [kernel.vmlinux]            [k] task_numa_fault
     0.01%  my_executable  [kernel.vmlinux]            [k] node_is_toptier
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007206c
     0.01%  my_executable  [kernel.vmlinux]            [k] get_page_from_freelist
     0.01%  my_executable  [kernel.vmlinux]            [k] __pte_offset_map
     0.01%  my_executable  [kernel.vmlinux]            [k] __update_load_avg_cfs_rq
     0.01%  my_executable  [kernel.vmlinux]            [k] __update_load_avg_se
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073939
     0.01%  my_executable  [kernel.vmlinux]            [k] update_cfs_group
     0.01%  my_executable  [kernel.vmlinux]            [k] rmap_walk_anon
     0.01%  my_executable  [kernel.vmlinux]            [k] __rcu_read_unlock
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000721a1
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073908
     0.01%  my_executable  libstencil.so               [.] mesh_set_cell_kind@plt
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073277
     0.01%  my_executable  [kernel.vmlinux]            [k] lock_vma_under_rcu
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073d65
     0.01%  my_executable  [kernel.vmlinux]            [k] change_protection
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073dd3
     0.01%  my_executable  [kernel.vmlinux]            [k] sysvec_call_function
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007312f
     0.01%  my_executable  [kernel.vmlinux]            [k] try_to_wake_up
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073da3
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007203e
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c6d
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073c23
     0.01%  my_executable  libstencil.so               [.] cos@plt
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000071fa0
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073bcd
     0.01%  my_executable  [kernel.vmlinux]            [k] task_tick_fair
     0.01%  my_executable  [kernel.vmlinux]            [k] sched_clock_cpu
     0.01%  my_executable  [kernel.vmlinux]            [k] native_write_msr
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007391f
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000732bb
     0.01%  my_executable  [kernel.vmlinux]            [k] _find_next_bit
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073122
     0.01%  my_executable  [kernel.vmlinux]            [k] __lruvec_stat_mod_folio
     0.01%  my_executable  libm.so.6                   [.] 0x000000000007325e
     0.01%  my_executable  libgomp.so.1.0.0            [.] gomp_team_barrier_wait_end
     0.01%  my_executable  [kernel.vmlinux]            [k] __alloc_pages
     0.01%  my_executable  [kernel.vmlinux]            [k] sched_core_idle_cpu
     0.01%  my_executable  [kernel.vmlinux]            [k] try_charge_memcg
     0.01%  my_executable  [kernel.vmlinux]            [k] folio_add_lru
     0.01%  my_executable  libm.so.6                   [.] 0x0000000000073218
     0.01%  my_executable  libm.so.6                   [.] 0x00000000000730cf
     0.00%  my_executable  [kernel.vmlinux]            [k] __mod_node_page_state
     0.00%  my_executable  [kernel.vmlinux]            [k] lru_gen_add_folio
     0.00%  my_executable  [kernel.vmlinux]            [k] folio_migrate_flags
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000730ee
     0.00%  my_executable  libm.so.6                   [.] 0x000000000007390a
     0.00%  my_executable  libm.so.6                   [.] 0x000000000007338f
     0.00%  my_executable  [kernel.vmlinux]            [k] do_anonymous_page
     0.00%  my_executable  [kernel.vmlinux]            [k] get_pfnblock_flags_mask
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000735fc
     0.00%  my_executable  [kernel.vmlinux]            [k] _compound_head
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073bac
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073916
     0.00%  my_executable  [kernel.vmlinux]            [k] __ptep_modify_prot_start
     0.00%  my_executable  [kernel.vmlinux]            [k] free_pcppages_bulk
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000730b8
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000738f6
     0.00%  my_executable  [kernel.vmlinux]            [k] numa_migrate_prep
     0.00%  my_executable  [kernel.vmlinux]            [k] remove_migration_pte
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073ca2
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073c83
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073db4
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000730a6
     0.00%  my_executable  [kernel.vmlinux]            [k] __cgroup_account_cputime_field
     0.00%  my_executable  [kernel.vmlinux]            [k] migrate_pages
     0.00%  my_executable  [kernel.vmlinux]            [k] mpol_misplaced
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073ba8
     0.00%  my_executable  [kernel.vmlinux]            [k] _raw_spin_trylock
     0.00%  my_executable  [kernel.vmlinux]            [k] account_user_time
     0.00%  my_executable  [kernel.vmlinux]            [k] sugov_update_single_freq
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000072009
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073bd6
     0.00%  my_executable  [kernel.vmlinux]            [k] folio_xchg_last_cpupid
     0.00%  my_executable  [kernel.vmlinux]            [k] lru_gen_del_folio.constprop.0
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073bbd
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000730ba
     0.00%  my_executable  [kernel.vmlinux]            [k] pte_offset_map_nolock
     0.00%  my_executable  [kernel.vmlinux]            [k] folio_put
     0.00%  my_executable  [kernel.vmlinux]            [k] get_vma_policy
     0.00%  my_executable  libm.so.6                   [.] 0x000000000007391b
     0.00%  my_executable  [kernel.vmlinux]            [k] vm_normal_page
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073296
     0.00%  my_executable  [kernel.vmlinux]            [k] lru_add_fn
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073df7
     0.00%  my_executable  [kernel.vmlinux]            [k] migrate_misplaced_folio
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073bf3
     0.00%  my_executable  [kernel.vmlinux]            [k] update_curr_se
     0.00%  my_executable  [kernel.vmlinux]            [k] access_error
     0.00%  my_executable  [kernel.vmlinux]            [k] folio_get_anon_vma
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073d8f
     0.00%  my_executable  [kernel.vmlinux]            [k] psi_group_change
     0.00%  my_executable  [kernel.vmlinux]            [k] __calc_delta.constprop.0
     0.00%  my_executable  [kernel.vmlinux]            [k] mem_cgroup_from_task
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000072037
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073d74
     0.00%  my_executable  [kernel.vmlinux]            [k] hrtimer_active
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000721c4
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073bb1
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000721aa
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073b83
     0.00%  my_executable  [kernel.vmlinux]            [k] update_sd_lb_stats.constprop.0
     0.00%  my_executable  libm.so.6                   [.] 0x000000000007201c
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000071fe8
     0.00%  my_executable  [kernel.vmlinux]            [k] ktime_get_update_offsets_now
     0.00%  my_executable  [kernel.vmlinux]            [k] get_mem_cgroup_from_mm
     0.00%  my_executable  [kernel.vmlinux]            [k] reweight_entity
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000072045
     0.00%  my_executable  libgomp.so.1.0.0            [.] gomp_barrier_wait_end
     0.00%  my_executable  [kernel.vmlinux]            [k] count_memcg_events.constprop.0
     0.00%  my_executable  [kernel.vmlinux]            [k] irqentry_enter
     0.00%  my_executable  [kernel.vmlinux]            [k] migration_entry_wait_on_locked
     0.00%  my_executable  [kernel.vmlinux]            [k] _raw_spin_lock_irq
     0.00%  my_executable  [kernel.vmlinux]            [k] tlb_is_not_lazy
     0.00%  my_executable  [kernel.vmlinux]            [k] hrtimer_interrupt
     0.00%  my_executable  libm.so.6                   [.] 0x000000000007357d
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000735e3
     0.00%  my_executable  [kernel.vmlinux]            [k] update_process_times
     0.00%  my_executable  [kernel.vmlinux]            [k] __irq_exit_rcu
     0.00%  my_executable  [kernel.vmlinux]            [k] __pte_offset_map_lock
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000072033
     0.00%  my_executable  [kernel.vmlinux]            [k] __mod_lruvec_state
     0.00%  my_executable  [kernel.vmlinux]            [k] arch_scale_freq_tick
     0.00%  my_executable  [kernel.vmlinux]            [k] free_unref_page_commit
     0.00%  my_executable  [kernel.vmlinux]            [k] __accumulate_pelt_segments
     0.00%  my_executable  libm.so.6                   [.] 0x00000000000732f9
     0.00%  my_executable  [kernel.vmlinux]            [k] release_pages
     0.00%  my_executable  libstencil.so               [.] sin@plt
     0.00%  my_executable  libm.so.6                   [.] 0x0000000000073df2
     0.00%  my_executable  [kernel.vmlinux]            [k] update_irq_load_avg
     0.00%  my_executable  [kernel.vmlinux]            [k] sched_clock
