# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 34K of event 'cycles:P'
# Event count (approx.): 19700811021
#
# Overhead  Command        Shared Object           Symbol                                      
# ........  .............  ......................  ............................................
#
     0.02%  my_executable  [kernel.vmlinux]        [k] _compound_head
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073df7
     0.02%  my_executable  [kernel.vmlinux]        [k] __count_memcg_events
     0.02%  my_executable  [kernel.vmlinux]        [k] update_cfs_group
     0.02%  my_executable  libm.so.6               [.] 0x00000000000738f6
     0.02%  my_executable  libm.so.6               [.] 0x0000000000073dd3
     0.02%  my_executable  [kernel.vmlinux]        [k] can_change_pte_writable
     0.02%  my_executable  [kernel.vmlinux]        [k] migrate_pages_batch
     0.01%  my_executable  libc.so.6               [.] 0x000000000009966b
     0.01%  my_executable  libm.so.6               [.] 0x00000000000735fc
     0.01%  my_executable  libm.so.6               [.] 0x00000000000730ee
     0.01%  my_executable  [kernel.vmlinux]        [k] kmem_cache_free
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073cca
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073da7
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073296
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073584
     0.01%  my_executable  [kernel.vmlinux]        [k] native_flush_tlb_one_user
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c76
     0.01%  my_executable  [kernel.vmlinux]        [k] exc_page_fault
     0.01%  my_executable  [kernel.vmlinux]        [k] llist_reverse_order
     0.01%  my_executable  libc.so.6               [.] malloc
     0.01%  my_executable  [kernel.vmlinux]        [k] lru_add_fn
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073d9f
     0.01%  my_executable  [kernel.vmlinux]        [k] _raw_spin_lock_irq
     0.01%  my_executable  [kernel.vmlinux]        [k] mod_objcg_state
     0.01%  my_executable  [kernel.vmlinux]        [k] _find_next_and_bit
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073394
     0.01%  my_executable  libm.so.6               [.] 0x00000000000732f9
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073df2
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073903
     0.01%  my_executable  libm.so.6               [.] 0x00000000000735e3
     0.01%  my_executable  [kernel.vmlinux]        [k] kfree
     0.01%  my_executable  [kernel.vmlinux]        [k] numa_migrate_prep
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073bd6
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073d8a
     0.01%  my_executable  [kernel.vmlinux]        [k] hrtimer_active
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c54
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073602
     0.01%  my_executable  libstencil.so           [.] sin@plt
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073322
     0.01%  my_executable  [kernel.vmlinux]        [k] __x86_indirect_thunk_array
     0.01%  my_executable  libm.so.6               [.] 0x00000000000738f5
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c58
     0.01%  my_executable  [kernel.vmlinux]        [k] update_curr
     0.01%  my_executable  [kernel.vmlinux]        [k] native_flush_tlb_local
     0.01%  my_executable  libm.so.6               [.] 0x000000000007391b
     0.01%  my_executable  [kernel.vmlinux]        [k] __alloc_pages
     0.01%  my_executable  libc.so.6               [.] realloc
     0.01%  my_executable  [kernel.vmlinux]        [k] perf_event_alloc
     0.01%  my_executable  [kernel.vmlinux]        [k] get_mem_cgroup_from_mm
     0.01%  my_executable  [kernel.vmlinux]        [k] generic_permission
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073dfd
     0.01%  my_executable  [kernel.vmlinux]        [k] vsnprintf
     0.01%  my_executable  [kernel.vmlinux]        [k] reweight_entity
     0.01%  my_executable  [kernel.vmlinux]        [k] __mem_cgroup_charge
     0.01%  my_executable  libm.so.6               [.] 0x000000000007333c
     0.01%  my_executable  [kernel.vmlinux]        [k] __update_load_avg_cfs_rq
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073327
     0.01%  my_executable  [kernel.vmlinux]        [k] lru_gen_del_folio
     0.01%  my_executable  libm.so.6               [.] 0x000000000007329b
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c2f
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073f74
     0.01%  my_executable  [kernel.vmlinux]        [k] psi_account_irqtime
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073ba8
     0.01%  my_executable  ld-linux-x86-64.so.2    [.] 0x000000000000a42c
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073cd0
     0.01%  my_executable  [kernel.vmlinux]        [k] alloc_pages_mpol
     0.01%  my_executable  libm.so.6               [.] 0x00000000000735a2
     0.01%  my_executable  [kernel.vmlinux]        [k] __d_lookup_rcu
     0.01%  my_executable  [kernel.vmlinux]        [k] __free_one_page
     0.01%  my_executable  [kernel.vmlinux]        [k] __schedule
     0.01%  my_executable  [kernel.vmlinux]        [k] perf_iterate_ctx
     0.01%  my_executable  libm.so.6               [.] 0x000000000007357d
     0.01%  my_executable  ld-linux-x86-64.so.2    [.] 0x0000000000009ae4
     0.01%  my_executable  [kernel.vmlinux]        [k] __calc_delta.constprop.0
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073d58
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073ca6
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073d74
     0.01%  my_executable  libc.so.6               [.] 0x0000000000159fdd
     0.01%  my_executable  [kernel.vmlinux]        [k] string
     0.01%  my_executable  [kernel.vmlinux]        [k] entry_SYSRETQ_unsafe_stack
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073d86
     0.01%  my_executable  [kernel.vmlinux]        [k] native_write_msr
     0.01%  my_executable  [kernel.vmlinux]        [k] format_decode
     0.01%  my_executable  [kernel.vmlinux]        [k] __perf_event_task_sched_in
     0.01%  my_executable  [kernel.vmlinux]        [k] count_memcg_events.constprop.0
     0.01%  my_executable  [kernel.vmlinux]        [k] update_sd_lb_stats.constprop.0
     0.01%  my_executable  [kernel.vmlinux]        [k] update_irq_load_avg
     0.01%  my_executable  [kernel.vmlinux]        [k] get_futex_key
     0.01%  my_executable  [kernel.vmlinux]        [k] lru_gen_del_folio.constprop.0
     0.01%  my_executable  [kernel.vmlinux]        [k] __mod_lruvec_state
     0.01%  my_executable  [kernel.vmlinux]        [k] uncharge_folio
     0.01%  my_executable  [kernel.vmlinux]        [k] __lruvec_stat_mod_folio
     0.01%  my_executable  [kernel.vmlinux]        [k] nohz_balance_exit_idle
     0.01%  my_executable  [kernel.vmlinux]        [k] sync_regs
     0.01%  my_executable  [kernel.vmlinux]        [k] __snmp6_fill_stats64.constprop.0
     0.01%  my_executable  [kernel.vmlinux]        [k] cgroup_rstat_updated
     0.01%  my_executable  [kernel.vmlinux]        [k] native_apic_msr_eoi
     0.01%  my_executable  [kernel.vmlinux]        [k] folio_migrate_flags
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073c6d
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073bff
     0.01%  my_executable  [kernel.vmlinux]        [k] strcmp
     0.01%  my_executable  libm.so.6               [.] 0x000000000007336c
     0.01%  my_executable  [kernel.vmlinux]        [k] folio_isolate_lru
     0.01%  my_executable  libm.so.6               [.] 0x0000000000073cd8
