# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 26K of event 'cycles:P'
# Event count (approx.): 18233692210
#
# Overhead  Command        Shared Object              Symbol                               
# ........  .............  .........................  .....................................
#
     0.02%  my_executable  libm.so.6                  [.] 0x00000000000738f5
     0.02%  my_executable  libm.so.6                  [.] 0x0000000000073916
     0.02%  my_executable  libm.so.6                  [.] 0x00000000000730b8
     0.02%  my_executable  libm.so.6                  [.] 0x00000000000732f9
     0.02%  my_executable  libm.so.6                  [.] 0x0000000000073d8f
     0.02%  my_executable  [kernel.vmlinux]           [k] update_cfs_group
     0.02%  my_executable  libm.so.6                  [.] 0x000000000007338f
     0.02%  my_executable  libm.so.6                  [.] 0x00000000000730ee
     0.02%  my_executable  libm.so.6                  [.] 0x0000000000073285
     0.02%  my_executable  libm.so.6                  [.] 0x000000000007391f
     0.02%  my_executable  [kernel.vmlinux]           [k] __mod_memcg_state
     0.02%  my_executable  [kernel.vmlinux]           [k] __alloc_pages
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073327
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073f74
     0.01%  my_executable  [kernel.vmlinux]           [k] down_read_trylock
     0.01%  my_executable  [kernel.vmlinux]           [k] strcmp
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073c50
     0.01%  my_executable  [kernel.vmlinux]           [k] vsnprintf
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073ba8
     0.01%  my_executable  [kernel.vmlinux]           [k] __update_load_avg_se
     0.01%  my_executable  [kernel.vmlinux]           [k] __lruvec_stat_mod_folio
     0.01%  my_executable  [kernel.vmlinux]           [k] syscall_return_via_sysret
     0.01%  my_executable  [kernel.vmlinux]           [k] mpol_misplaced
     0.01%  my_executable  [kernel.vmlinux]           [k] vm_normal_page
     0.01%  my_executable  [kernel.vmlinux]           [k] sugov_update_single_freq
     0.01%  my_executable  libm.so.6                  [.] 0x00000000000738f6
     0.01%  my_executable  [kernel.vmlinux]           [k] do_anonymous_page
     0.01%  my_executable  libm.so.6                  [.] 0x00000000000735af
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073c6d
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073da7
     0.01%  my_executable  [kernel.vmlinux]           [k] __mod_node_page_state
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073c72
     0.01%  my_executable  libm.so.6                  [.] 0x00000000000732c8
     0.01%  my_executable  [kernel.vmlinux]           [k] hrtimer_interrupt
     0.01%  my_executable  [kernel.vmlinux]           [k] _raw_spin_lock
     0.01%  my_executable  [kernel.vmlinux]           [k] __pte_offset_map
     0.01%  my_executable  [kernel.vmlinux]           [k] mutex_lock
     0.01%  my_executable  libc.so.6                  [.] cfree
     0.01%  my_executable  [kernel.vmlinux]           [k] __accumulate_pelt_segments
     0.01%  my_executable  libm.so.6                  [.] 0x00000000000733b3
     0.01%  my_executable  [kernel.vmlinux]           [k] __update_load_avg_cfs_rq
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073cd0
     0.01%  my_executable  libc.so.6                  [.] __close
     0.01%  my_executable  [kernel.vmlinux]           [k] format_decode
     0.01%  my_executable  [kernel.vmlinux]           [k] _find_next_and_bit
     0.01%  my_executable  [kernel.vmlinux]           [k] syscall_exit_to_user_mode
     0.01%  my_executable  libm.so.6                  [.] 0x00000000000730c6
     0.01%  my_executable  [kernel.vmlinux]           [k] free_unref_page_commit
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073df2
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073245
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073584
     0.01%  my_executable  [kernel.vmlinux]           [k] filemap_map_pages
     0.01%  my_executable  libm.so.6                  [.] 0x000000000007336c
     0.01%  my_executable  [kernel.vmlinux]           [k] update_curr_se
     0.01%  my_executable  [kernel.vmlinux]           [k] account_process_tick
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073c19
     0.01%  my_executable  libm.so.6                  [.] 0x00000000000730ba
     0.01%  my_executable  [kernel.vmlinux]           [k] handle_mm_fault
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073f8e
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073292
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073ce5
     0.01%  my_executable  libm.so.6                  [.] 0x000000000007319f
     0.01%  my_executable  libm.so.6                  [.] 0x0000000000073340
     0.01%  my_executable  libc.so.6                  [.] 0x000000000009a065
     0.01%  my_executable  ld-linux-x86-64.so.2       [.] 0x0000000000009ae4
     0.01%  my_executable  [kernel.vmlinux]           [k] percpu_counter_add_batch
     0.01%  my_executable  [kernel.vmlinux]           [k] copy_mc_enhanced_fast_string
     0.01%  my_executable  [kernel.vmlinux]           [k] task_numa_fault
     0.01%  my_executable  [kernel.vmlinux]           [k] irqtime_account_irq
